Name                Version                         Rev    Tracking       Publisher       Notes
alacritty           0.17.0                          155    latest/stable  snapcrafters*   classic
bare                1.0                             5      latest/stable  canonical**     base
chromium            147.0.7727.55                   3411   latest/stable  canonical**     -
code-insiders       173f07e5                        2355   latest/stable  vscode**        classic
core                16-2.61.4-20260225              17292  latest/stable  canonical**     core
core18              20260204                        2999   latest/stable  canonical**     base
core20              20260211                        2769   latest/stable  canonical**     base
core22              20260225                        2411   latest/stable  canonical**     base
core24              20260317                        1587   latest/stable  canonical**     base
cups                2.4.16-2                        1183   latest/stable  openprinting**  -
gh                  2.74.0-19-gea8fc856e            640    latest/stable  casper-dcl      -
ghostty             v1.3.1                          718    latest/stable  ken-vandine*    classic
gnome-42-2204       0+git.c1d3d69-sdk0+git.015db9a  247    latest/stable  canonical**     -
gnome-46-2404       0+git.f1cd5fa-sdk0+git.ca9c59c  153    latest/stable  canonical**     -
go                  1.26.2                          11127  latest/stable  canonical**     classic
graalvm-jdk         25.0.2                          30     latest/stable  canonical**     -
gradle              8.14.4                          292    latest/stable  canonical**     classic
gtk-common-themes   0.1-81-g442e511                 1535   latest/stable  canonical**     -
gtk2-common-themes  0.1                             13     latest/stable  canonical**     -
jbang               0.97.0                          291    latest/stable  maxandersen     classic
mesa-2404           25.0.7-snap211                  1165   latest/stable  canonical**     -
snap-store          0+git.3210f0a7                  1338   2/stable       canonical**     -
snapd               2.74.1                          26382  latest/stable  canonical**     snapd
tailscale           1.88.4                          115    latest/stable  canonical**     -
wps-2019-snap       11.2.0.9505                     2      latest/stable  cyrpaut         -
