Name               Version                     Rev    Tracking       Publisher       Notes
authy              2.5.0                       23     latest/stable  twilio-authy    -
bare               1.0                         5      latest/stable  canonical**     base
chromium           127.0.6533.99               2925   latest/stable  canonical**     -
core18             20240612                    2829   latest/stable  canonical**     base
core20             20240416                    2318   latest/stable  canonical**     base
core22             20240419                    1439   latest/stable  canonical**     base
core24             20240710                    490    latest/stable  canonical**     base
cups               2.4.10-1                    1058   latest/stable  openprinting**  -
gnome-3-28-1804    3.28.0-19-g98f9e67.98f9e67  198    latest/stable  canonical**     -
gnome-3-38-2004    0+git.efb213a               143    latest/stable  canonical**     -
gnome-42-2204      0+git.510a601               176    latest/stable  canonical**     -
gnome-46-2404      0+git.1f00542               42     latest/stable  canonical**     -
gtk-common-themes  0.1-81-g442e511             1535   latest/stable  canonical**     -
mesa-2404          24.0.9                      143    latest/stable  canonical**     -
node               20.16.0                     8940   20/stable      iojs**          classic
snap-store         41.3-77-g7dc86c8            1113   latest/stable  canonical**     -
snapd              2.63                        21759  latest/stable  canonical**     snapd
